,ESTACAO,DATA (YYYY-MM-DD),rain_max,rad_max,temp_avg,temp_max,temp_min,hum_max,hum_min,wind_max,wind_avg
83021,A201,2014-01-01,0.0,3245.0,27.45833333333333,33.9,23.2,92.0,46.0,7.7,1.4375
83022,A201,2014-01-02,2.0,2734.1,27.65416666666667,33.5,24.8,87.0,51.0,6.5,1.0416666666666667
83023,A201,2014-01-03,0.0,2998.8,27.67083333333333,33.6,23.3,92.0,44.0,6.8,1.1166666666666667
83024,A201,2014-01-04,5.2,3171.7,26.179166666666664,33.6,23.7,93.0,49.0,6.1,0.975
83025,A201,2014-01-05,10.8,3015.3,26.191666666666663,32.6,22.6,93.0,53.0,8.3,1.1416666666666666
83026,A201,2014-01-06,14.2,2516.9,25.866666666666664,33.1,23.3,93.0,52.0,11.1,0.7833333333333333
83027,A201,2014-01-07,1.0,3012.0,25.991666666666664,31.5,23.3,94.0,58.0,6.9,1.2833333333333334
83028,A201,2014-01-08,0.8,2641.3,26.40416666666667,32.3,23.7,92.0,55.0,8.9,0.7875
83029,A201,2014-01-09,1.4,2281.7,25.491666666666664,31.1,22.6,93.0,58.0,3.9,0.4125
83030,A201,2014-01-10,26.4,2185.0,24.8375,31.5,21.8,94.0,62.0,5.4,0.325
83031,A201,2014-01-11,0.6,2475.6,26.104166666666668,33.2,22.9,94.0,52.0,6.9,0.425
83032,A201,2014-01-12,26.2,932.1,24.370833333333334,27.1,21.3,94.0,80.0,8.2,0.1666666666666666
83033,A201,2014-01-13,17.4,2529.8,25.558333333333334,31.7,22.5,94.0,58.0,9.1,0.5416666666666666
83034,A201,2014-01-14,3.0,2918.1,26.4625,32.9,23.3,93.0,53.0,6.1,0.4791666666666667
83035,A201,2014-01-15,3.8,2824.8,25.7375,31.8,23.3,93.0,55.0,7.2,0.6416666666666667
83036,A201,2014-01-16,21.4,2715.8,25.65416666666667,31.4,23.2,94.0,64.0,7.1,0.6625
83037,A201,2014-01-17,1.4,2703.9,27.2625,33.9,23.7,94.0,51.0,5.8,0.6833333333333332
83038,A201,2014-01-18,0.2,2780.5,28.058333333333334,34.1,24.1,92.0,51.0,8.2,1.0125
83039,A201,2014-01-19,6.8,2607.0,27.1625,32.4,24.2,92.0,57.0,10.0,1.1833333333333331
83040,A201,2014-01-20,7.6,1813.1,26.6875,30.8,24.9,91.0,65.0,7.3,1.1541666666666666
83041,A201,2014-01-21,12.2,2630.3,26.475,32.0,23.6,94.0,59.0,9.5,0.7124999999999999
83042,A201,2014-01-22,0.0,3027.3,27.254166666666663,33.5,22.8,93.0,48.0,6.0,0.8541666666666666
83043,A201,2014-01-23,26.2,2982.4,26.775,33.7,23.6,93.0,48.0,10.5,1.0083333333333333
83044,A201,2014-01-24,17.0,3180.2,25.45833333333333,31.9,22.7,93.0,62.0,8.4,0.7041666666666666
83045,A201,2014-01-25,8.4,912.8,24.041666666666668,26.3,21.6,93.0,76.0,7.6,0.8208333333333333
83046,A201,2014-01-26,0.2,2750.1,25.95,31.8,23.4,93.0,54.0,6.2,0.8458333333333333
83047,A201,2014-01-27,1.0,1223.4,25.141666666666666,27.8,22.8,93.0,71.0,9.6,0.6625
83048,A201,2014-01-28,0.6,2956.5,26.2,30.9,23.7,94.0,62.0,6.4,1.1333333333333333
83049,A201,2014-01-29,2.0,1952.3,25.08333333333333,30.6,22.7,92.0,64.0,6.7,0.6791666666666667
83050,A201,2014-01-30,9.6,2516.4,25.666666666666668,31.0,23.1,93.0,61.0,8.7,0.6625
83051,A201,2014-01-31,0.8,2946.2,26.1,31.8,23.9,92.0,58.0,7.5,0.925
83052,A201,2014-02-01,7.2,1734.0,24.7625,29.1,23.7,94.0,71.0,5.3,0.4458333333333333
